Дата,Средняя температура
2018-04-29,15.09
2018-04-29,19.05
2018-04-29,22.07
2018-04-29,21.04
2018-04-29,16.04
2018-04-29,10.05
2018-04-29,6.04
2018-04-29,7.01
2018-04-28,8.07
2018-04-28,10.0
2018-04-28,11.07
2018-04-28,9.02
2018-04-28,7.01
2018-04-28,6.0
2018-04-28,6.05
2018-04-28,8.05
2018-04-27,9.02
2018-04-27,10.01
2018-04-27,8.02
2018-04-27,11.04
2018-04-27,7.03
2018-04-27,6.09
2018-04-27,5.03
2018-04-27,4.07
2018-04-26,6.05
2018-04-26,7.09
2018-04-26,9.07
2018-04-26,9.01
2018-04-26,6.08
2018-04-26,5.03
2018-04-26,2.06
2018-04-26,2.06
2018-04-25,2.09
2018-04-25,4.0
2018-04-25,6.03
2018-04-25,6.07
2018-04-25,6.09
2018-04-25,4.02
2018-04-25,5.06
2018-04-25,7.03
2018-04-24,8.06
2018-04-24,8.06
2018-04-24,9.04
2018-04-24,10.04
2018-04-24,13.02
2018-04-24,11.04
2018-04-24,9.06
2018-04-24,11.02
2018-04-23,12.02
2018-04-23,13.05
2018-04-23,16.01
2018-04-23,16.01
2018-04-23,13.05
2018-04-23,9.03
2018-04-23,8.09
2018-04-23,9.02
2018-04-22,10.03
2018-04-22,11.01
2018-04-22,11.06
2018-04-22,14.03
2018-04-22,13.03
2018-04-22,10.0
2018-04-22,11.06
2018-04-22,13.07
2018-04-21,14.03
2018-04-21,15.05
2018-04-21,17.06
2018-04-21,15.0
2018-04-21,12.08
2018-04-21,9.05
2018-04-21,7.04
2018-04-21,8.05
2018-04-20,10.08
2018-04-20,12.01
2018-04-20,14.01
2018-04-20,13.07
2018-04-20,10.01
2018-04-20,4.05
2018-04-20,1.06
2018-04-20,1.01
2018-04-19,1.01
2018-04-19,1.08
2018-04-19,4.03
2018-04-19,2.02
2018-04-19,1.01
2018-04-19,-1.3
2018-04-19,-2.0
2018-04-19,-1.6
2018-04-18,0.4
2018-04-18,6.03
2018-04-18,9.02
2018-04-18,9.04
2018-04-18,7.01
2018-04-18,1.08
2018-04-18,-1.6
2018-04-18,-2.1
2018-04-17,1.02
2018-04-17,2.09
2018-04-17,5.06
2018-04-17,7.01
2018-04-17,6.07
2018-04-17,2.08
2018-04-17,1.0
2018-04-17,4.02
2018-04-16,6.05
2018-04-16,7.04
2018-04-16,9.08
2018-04-16,10.04
2018-04-16,10.0
2018-04-16,5.05
2018-04-16,0.8
2018-04-16,1.06
2018-04-15,2.07
2018-04-15,5.02
2018-04-15,9.04
2018-04-15,8.09
2018-04-15,7.05
2018-04-15,4.04
2018-04-15,-3.4
2018-04-15,-2.4
2018-04-14,1.02
2018-04-14,4.04
2018-04-14,7.07
2018-04-14,7.06
2018-04-14,5.04
2018-04-14,1.04
2018-04-14,-4.3
2018-04-14,-3.6
2018-04-13,-1.7
2018-04-13,0.5
2018-04-13,3.03
2018-04-13,8.09
2018-04-13,13.05
2018-04-13,7.08
2018-04-13,6.05
2018-04-13,8.09
2018-04-12,10.07
2018-04-12,11.03
2018-04-12,14.03
2018-04-12,14.04
2018-04-12,11.09
2018-04-12,5.09
2018-04-12,3.05
2018-04-12,4.07
2018-04-11,6.01
2018-04-11,7.04
2018-04-11,10.05
2018-04-11,8.04
2018-04-11,6.02
2018-04-11,2.02
2018-04-11,-0.8
2018-04-11,-1.7
2018-04-10,0.3
2018-04-10,1.04
2018-04-10,2.08
2018-04-10,3.04
2018-04-10,3.06
2018-04-10,1.05
2018-04-10,0.6
2018-04-10,0.9
2018-04-09,0.9
2018-04-09,0.7
2018-04-09,1.09
2018-04-09,2.09
2018-04-09,3.02
2018-04-09,0.7
2018-04-09,2.01
2018-04-09,3.03
2018-04-08,4.07
2018-04-08,6.03
2018-04-08,6.01
2018-04-08,4.07
2018-04-08,3.06
2018-04-08,0.7
2018-04-08,-0.4
2018-04-08,-0.1
2018-04-07,0.2
2018-04-07,0.6
2018-04-07,2.01
2018-04-07,2.08
2018-04-07,1.05
2018-04-07,1.0
2018-04-07,1.04
2018-04-07,1.09
2018-04-06,2.06
2018-04-06,4.0
2018-04-06,5.07
2018-04-06,4.01
2018-04-06,1.09
2018-04-06,0.7
2018-04-06,2.01
2018-04-06,4.01
2018-04-05,5.01
2018-04-05,4.09
2018-04-05,7.06
2018-04-05,6.01
2018-04-05,3.05
2018-04-05,-0.9
2018-04-05,-1.9
2018-04-05,-1.2
2018-04-04,0.0
2018-04-04,0.2
2018-04-04,3.02
2018-04-04,2.08
2018-04-04,0.9
2018-04-04,-2.6
2018-04-04,-5.0
2018-04-04,-4.2
2018-04-03,-3.0
2018-04-03,-1.9
